date,advertiser,ad_format,impressions,spend,avg_cpm,clicks,conversions,pmp_impressions,ctr,cvr,simulated_revenue,roas
2024-01-01,AmericanExpress,display,130,870.9051000000001,6.69927,0,0,14,0.0,0.0,0.0,0.0
2024-01-01,AmericanExpress,mobile,89,626.0623,7.03440786516854,0,0,15,0.0,0.0,0.0,0.0
2024-01-01,AmericanExpress,native,50,361.1646,7.223292,1,0,4,0.02,0.0,0.0,0.0
2024-01-01,Netflix,display,297,1629.5989,5.486864983164983,2,0,87,0.006734006734006734,0.0,0.0,0.0
2024-01-01,Netflix,mobile,221,1120.6208,5.070682352941176,1,0,58,0.004524886877828055,0.0,0.0,0.0
2024-01-01,Nike,display,31,184.0784,5.938012903225806,0,0,2,0.0,0.0,0.0,0.0
2024-01-01,Nike,mobile,13,77.4987,5.961438461538462,0,0,1,0.0,0.0,0.0,0.0
2024-01-01,Toyota,display,26,165.1786,6.353023076923076,0,0,0,0.0,0.0,0.0,0.0
2024-01-01,Toyota,mobile,14,88.3808,6.312914285714285,0,0,0,0.0,0.0,0.0,0.0
2024-01-02,AmericanExpress,display,130,880.3652999999999,6.7720407692307685,0,0,15,0.0,0.0,0.0,0.0
2024-01-02,AmericanExpress,mobile,88,580.0972,6.592013636363637,0,0,6,0.0,0.0,0.0,0.0
2024-01-02,AmericanExpress,native,29,217.1689,7.48858275862069,0,0,1,0.0,0.0,0.0,0.0
2024-01-02,Netflix,display,330,1711.4202,5.186121818181818,1,0,91,0.0030303030303030303,0.0,0.0,0.0
2024-01-02,Netflix,mobile,191,1012.7354,5.302279581151833,0,0,56,0.0,0.0,0.0,0.0
2024-01-02,Nike,display,25,143.0625,5.7225,0,0,0,0.0,0.0,0.0,0.0
2024-01-02,Nike,mobile,17,104.4896,6.146447058823529,0,0,2,0.0,0.0,0.0,0.0
2024-01-02,Toyota,display,26,174.5249,6.712496153846154,0,0,0,0.0,0.0,0.0,0.0
2024-01-02,Toyota,mobile,16,104.1159,6.50724375,0,0,0,0.0,0.0,0.0,0.0
2024-01-03,AmericanExpress,display,154,1003.502,6.516246753246753,0,0,10,0.0,0.0,0.0,0.0
2024-01-03,AmericanExpress,mobile,92,635.7018,6.909802173913044,0,0,13,0.0,0.0,0.0,0.0
2024-01-03,AmericanExpress,native,37,264.6651,7.15311081081081,0,0,1,0.0,0.0,0.0,0.0
2024-01-03,Netflix,display,279,1486.8913,5.329359498207885,2,0,77,0.007168458781362007,0.0,0.0,0.0
2024-01-03,Netflix,mobile,223,1185.4555,5.315943946188341,0,0,57,0.0,0.0,0.0,0.0
2024-01-03,Nike,display,25,146.5997,5.863988000000001,0,0,1,0.0,0.0,0.0,0.0
2024-01-03,Nike,mobile,22,128.6829,5.849222727272727,0,0,0,0.0,0.0,0.0,0.0
2024-01-03,Toyota,display,18,113.1307,6.285038888888889,0,0,0,0.0,0.0,0.0,0.0
2024-01-03,Toyota,mobile,13,86.48,6.6523076923076925,0,0,0,0.0,0.0,0.0,0.0
2024-01-04,AmericanExpress,display,100,662.6246,6.626246,0,0,9,0.0,0.0,0.0,0.0
2024-01-04,AmericanExpress,mobile,86,591.0016,6.872111627906977,0,0,14,0.0,0.0,0.0,0.0
2024-01-04,AmericanExpress,native,39,296.0331,7.590592307692307,0,0,4,0.0,0.0,0.0,0.0
2024-01-04,Netflix,display,318,1649.6476,5.18757106918239,1,0,84,0.0031446540880503146,0.0,0.0,0.0
2024-01-04,Netflix,mobile,198,1070.1883,5.404991414141414,1,0,57,0.005050505050505051,0.0,0.0,0.0
2024-01-04,Nike,display,28,164.5166,5.875592857142857,0,0,0,0.0,0.0,0.0,0.0
2024-01-04,Nike,mobile,17,99.8959,5.876229411764705,0,0,1,0.0,0.0,0.0,0.0
2024-01-04,Toyota,display,22,149.5972,6.799872727272727,0,0,0,0.0,0.0,0.0,0.0
2024-01-04,Toyota,mobile,10,61.549,6.1549,0,0,0,0.0,0.0,0.0,0.0
2024-01-05,AmericanExpress,display,130,865.989,6.661453846153846,0,0,11,0.0,0.0,0.0,0.0
2024-01-05,AmericanExpress,mobile,88,597.3675,6.788267045454545,0,0,8,0.0,0.0,0.0,0.0
2024-01-05,AmericanExpress,native,42,314.839,7.496166666666666,0,0,4,0.0,0.0,0.0,0.0
2024-01-05,Netflix,display,299,1548.4681,5.178823076923077,1,0,79,0.0033444816053511705,0.0,0.0,0.0
2024-01-05,Netflix,mobile,197,1007.2786,5.1130893401015225,0,0,49,0.0,0.0,0.0,0.0
2024-01-05,Nike,display,21,128.2126,6.105361904761905,0,0,1,0.0,0.0,0.0,0.0
2024-01-05,Nike,mobile,17,97.6434,5.743729411764706,0,0,1,0.0,0.0,0.0,0.0
2024-01-05,Toyota,display,22,148.1274,6.733063636363636,0,0,0,0.0,0.0,0.0,0.0
2024-01-05,Toyota,mobile,10,63.425,6.342499999999999,0,0,0,0.0,0.0,0.0,0.0
2024-01-06,AmericanExpress,display,118,809.8069,6.862770338983051,0,0,13,0.0,0.0,0.0,0.0
2024-01-06,AmericanExpress,mobile,80,527.3091,6.591363749999999,0,0,7,0.0,0.0,0.0,0.0
2024-01-06,AmericanExpress,native,27,201.4192,7.45997037037037,0,0,2,0.0,0.0,0.0,0.0
2024-01-06,Netflix,display,348,1791.9691,5.149336494252873,0,0,85,0.0,0.0,0.0,0.0
2024-01-06,Netflix,mobile,208,1021.6988,4.912013461538462,0,0,50,0.0,0.0,0.0,0.0
2024-01-06,Nike,display,33,199.9737,6.059809090909091,0,0,2,0.0,0.0,0.0,0.0
2024-01-06,Nike,mobile,15,93.9404,6.262693333333333,0,0,2,0.0,0.0,0.0,0.0
2024-01-06,Toyota,display,19,121.5246,6.396031578947369,0,0,0,0.0,0.0,0.0,0.0
2024-01-06,Toyota,mobile,19,117.0952,6.162905263157895,0,0,0,0.0,0.0,0.0,0.0
2024-01-07,AmericanExpress,display,141,929.1425,6.589663120567376,1,0,8,0.0070921985815602835,0.0,0.0,0.0
2024-01-07,AmericanExpress,mobile,103,657.1821,6.3804087378640775,0,0,5,0.0,0.0,0.0,0.0
2024-01-07,AmericanExpress,native,39,304.4896,7.807425641025641,0,0,4,0.0,0.0,0.0,0.0
2024-01-07,Netflix,display,280,1480.3185,5.286851785714286,1,0,81,0.0035714285714285713,0.0,0.0,0.0
2024-01-07,Netflix,mobile,199,1046.4259,5.258421608040201,1,1,59,0.005025125628140704,1.0,42.067372864321605,0.04020100502512563
