group,segment,users,conversions,conv_rate,conv_rate_pct
Control,affluent,5018,200,0.03985651654045436,3.9856516540454363
Control,general,4960,163,0.03286290322580645,3.286290322580645
Control,high_intent,5034,179,0.035558204211362736,3.5558204211362736
Control,high_value,4923,178,0.036156814950233596,3.6156814950233596
Control,lapsed,5065,198,0.039091806515301086,3.9091806515301086
Exposed,affluent,5094,231,0.04534746760895171,4.534746760895171
Exposed,general,4994,245,0.04905887064477373,4.9058870644773735
Exposed,high_intent,4950,250,0.050505050505050504,5.05050505050505
Exposed,high_value,4996,201,0.04023218574859888,4.023218574859888
Exposed,lapsed,4966,252,0.05074506645187273,5.074506645187273
