date,actual_spend,cumulative_spend,planned_cumulative,pacing_index,advertiser,total_budget,daily_budget,remaining_budget,budget_anomaly_flag,budget_anomaly_detail
2024-01-01,2750.2196999999996,2750.2196999999996,1666.6666666666667,1.6501318199999997,Netflix,150000,1666.6666666666667,147249.7803,False,1.65x pace — within normal range
2024-01-02,2724.1556,5474.3753,3333.3333333333335,1.6423125899999997,Netflix,150000,1666.6666666666667,144525.6247,False,1.63x pace — within normal range
2024-01-03,2672.3468000000003,8146.7221,5000.0,1.62934442,Netflix,150000,1666.6666666666667,141853.2779,False,1.60x pace — within normal range
2024-01-04,2719.8359,10866.558,6666.666666666667,1.6299837000000001,Netflix,150000,1666.6666666666667,139133.442,False,1.63x pace — within normal range
2024-01-05,2555.7467,13422.3047,8333.333333333334,1.610676564,Netflix,150000,1666.6666666666667,136577.6953,False,1.53x pace — within normal range
2024-01-06,2813.6679,16235.972600000001,10000.0,1.6235972600000002,Netflix,150000,1666.6666666666667,133764.0274,False,1.69x pace — within normal range
2024-01-07,2526.7444,18762.717,11666.666666666668,1.6082328857142856,Netflix,150000,1666.6666666666667,131237.283,False,1.52x pace — within normal range
2024-01-08,2739.6715,21502.3885,13333.333333333334,1.6126791375,Netflix,150000,1666.6666666666667,128497.6115,False,1.64x pace — within normal range
2024-01-09,2638.0888,24140.477300000002,15000.0,1.6093651533333335,Netflix,150000,1666.6666666666667,125859.5227,False,1.58x pace — within normal range
2024-01-10,2644.4617,26784.939000000002,16666.666666666668,1.60709634,Netflix,150000,1666.6666666666667,123215.061,False,1.59x pace — within normal range
2024-01-11,2587.818,29372.757,18333.333333333336,1.6021503818181817,Netflix,150000,1666.6666666666667,120627.243,False,1.55x pace — within normal range
2024-01-12,2586.8316999999997,31959.5887,20000.0,1.597979435,Netflix,150000,1666.6666666666667,118040.4113,False,1.55x pace — within normal range
2024-01-13,2754.2619,34713.8506,21666.666666666668,1.6021777199999998,Netflix,150000,1666.6666666666667,115286.1494,False,1.65x pace — within normal range
2024-01-14,2671.9065,37385.757099999995,23333.333333333336,1.6022467328571426,Netflix,150000,1666.6666666666667,112614.24290000001,False,1.60x pace — within normal range
2024-01-15,2864.567,40250.3241,25000.0,1.6100129639999998,Netflix,150000,1666.6666666666667,109749.6759,False,1.72x pace — within normal range
2024-01-16,2814.9217,43065.2458,26666.666666666668,1.6149467174999999,Netflix,150000,1666.6666666666667,106934.7542,False,1.69x pace — within normal range
2024-01-17,2731.6331,45796.878899999996,28333.333333333336,1.6163604317647056,Netflix,150000,1666.6666666666667,104203.1211,False,1.64x pace — within normal range
2024-01-18,2878.2996,48675.178499999995,30000.0,1.6225059499999999,Netflix,150000,1666.6666666666667,101324.8215,False,1.73x pace — within normal range
2024-01-19,3055.8085,51730.986999999994,31666.666666666668,1.6336101157894733,Netflix,150000,1666.6666666666667,98269.013,False,1.83x pace — within normal range
2024-01-20,2590.0557,54321.04269999999,33333.333333333336,1.6296312809999995,Netflix,150000,1666.6666666666667,95678.95730000001,False,1.55x pace — within normal range
2024-01-21,2931.0316000000003,57252.07429999999,35000.0,1.6357735514285712,Netflix,150000,1666.6666666666667,92747.9257,False,1.76x pace — within normal range
2024-01-22,2560.9323999999997,59813.00669999999,36666.66666666667,1.6312638190909086,Netflix,150000,1666.6666666666667,90186.9933,False,1.54x pace — within normal range
2024-01-23,2431.3894999999998,62244.39619999999,38333.333333333336,1.623766857391304,Netflix,150000,1666.6666666666667,87755.60380000001,False,1.46x pace — within normal range
2024-01-24,2669.4287,64913.824899999985,40000.0,1.6228456224999996,Netflix,150000,1666.6666666666667,85086.17510000002,False,1.60x pace — within normal range
2024-01-25,2502.5002,67416.32509999999,41666.66666666667,1.6179918023999995,Netflix,150000,1666.6666666666667,82583.67490000001,False,1.50x pace — within normal range
2024-01-26,2518.7785,69935.10359999999,43333.333333333336,1.6138870061538457,Netflix,150000,1666.6666666666667,80064.89640000001,False,1.51x pace — within normal range
2024-01-27,2580.1713,72515.27489999999,45000.0,1.6114505533333332,Netflix,150000,1666.6666666666667,77484.72510000001,False,1.55x pace — within normal range
2024-01-28,2759.3954,75274.67029999998,46666.66666666667,1.6130286492857138,Netflix,150000,1666.6666666666667,74725.32970000002,False,1.66x pace — within normal range
2024-01-29,2634.2985,77908.96879999999,48333.333333333336,1.6119096993103446,Netflix,150000,1666.6666666666667,72091.03120000001,False,1.58x pace — within normal range
2024-01-30,2521.048,80430.01679999998,50000.0,1.6086003359999996,Netflix,150000,1666.6666666666667,69569.98320000002,False,1.51x pace — within normal range
2024-01-31,2404.774,82834.79079999999,51666.66666666667,1.6032540154838706,Netflix,150000,1666.6666666666667,67165.20920000001,False,1.44x pace — within normal range
2024-02-01,2613.2598,85448.05059999999,53333.333333333336,1.6021509487499996,Netflix,150000,1666.6666666666667,64551.94940000001,False,1.57x pace — within normal range
2024-02-02,2630.1949999999997,88078.2456,55000.0,1.601422647272727,Netflix,150000,1666.6666666666667,61921.754400000005,False,1.58x pace — within normal range
2024-02-03,2863.3565,90941.60209999999,56666.66666666667,1.6048518017647055,Netflix,150000,1666.6666666666667,59058.39790000001,False,1.72x pace — within normal range
2024-02-04,2893.8493,93835.45139999999,58333.333333333336,1.608607738285714,Netflix,150000,1666.6666666666667,56164.54860000001,False,1.74x pace — within normal range
2024-02-05,2530.3989,96365.85029999999,60000.0,1.606097505,Netflix,150000,1666.6666666666667,53634.14970000001,False,1.52x pace — within normal range
2024-02-06,3052.7477,99418.598,61666.66666666667,1.612193481081081,Netflix,150000,1666.6666666666667,50581.402,False,1.83x pace — within normal range
2024-02-07,2475.4706,101894.0686,63333.333333333336,1.608853714736842,Netflix,150000,1666.6666666666667,48105.9314,False,1.49x pace — within normal range
2024-02-08,3010.6727,104904.7413,65000.0,1.6139190969230768,Netflix,150000,1666.6666666666667,45095.258700000006,False,1.81x pace — within normal range
2024-02-09,2841.5957,107746.337,66666.66666666667,1.616195055,Netflix,150000,1666.6666666666667,42253.663,False,1.70x pace — within normal range
2024-02-10,2637.6189999999997,110383.956,68333.33333333334,1.6153749658536585,Netflix,150000,1666.6666666666667,39616.043999999994,False,1.58x pace — within normal range
2024-02-11,2765.5,113149.456,70000.0,1.6164208,Netflix,150000,1666.6666666666667,36850.543999999994,False,1.66x pace — within normal range
2024-02-12,2881.5585,116031.0145,71666.66666666667,1.619037411627907,Netflix,150000,1666.6666666666667,33968.985499999995,False,1.73x pace — within normal range
2024-02-13,2768.3720999999996,118799.3866,73333.33333333334,1.6199916354545452,Netflix,150000,1666.6666666666667,31200.613400000002,False,1.66x pace — within normal range
2024-02-14,2579.2524,121378.639,75000.0,1.6183818533333332,Netflix,150000,1666.6666666666667,28621.361000000004,False,1.55x pace — within normal range
2024-02-15,2728.0715,124106.7105,76666.66666666667,1.6187831804347825,Netflix,150000,1666.6666666666667,25893.2895,False,1.64x pace — within normal range
2024-02-16,2704.694,126811.4045,78333.33333333334,1.618868993617021,Netflix,150000,1666.6666666666667,23188.595499999996,False,1.62x pace — within normal range
2024-02-17,2913.3388,129724.7433,80000.0,1.62155929125,Netflix,150000,1666.6666666666667,20275.256699999998,False,1.75x pace — within normal range
2024-02-18,2713.626,132438.3693,81666.66666666667,1.6216943179591834,Netflix,150000,1666.6666666666667,17561.63070000001,False,1.63x pace — within normal range
2024-02-19,2576.1107,135014.47999999998,83333.33333333334,1.6201737599999997,Netflix,150000,1666.6666666666667,14985.520000000019,False,1.55x pace — within normal range
2024-02-20,2709.2623999999996,137723.7424,85000.0,1.620279322352941,Netflix,150000,1666.6666666666667,12276.257600000012,False,1.63x pace — within normal range
2024-02-21,2693.6326,140417.375,86666.66666666667,1.6202004807692307,Netflix,150000,1666.6666666666667,9582.625,False,1.62x pace — within normal range
2024-02-22,2926.7587,143344.1337,88333.33333333334,1.622763777735849,Netflix,150000,1666.6666666666667,6655.866299999994,False,1.76x pace — within normal range
2024-02-23,2700.98,146045.11370000002,90000.0,1.6227234855555557,Netflix,150000,1666.6666666666667,3954.8862999999837,False,1.62x pace — within normal range
2024-02-24,2662.2996,148707.41330000001,91666.66666666667,1.6222626905454547,Netflix,150000,1666.6666666666667,1292.5866999999853,False,1.60x pace — within normal range
2024-02-25,2685.8914999999997,151393.3048,93333.33333333334,1.6220711228571427,Netflix,150000,1666.6666666666667,-1393.3048000000126,False,1.61x pace — within normal range
2024-02-26,2749.6225999999997,154142.92740000002,95000.0,1.622557130526316,Netflix,150000,1666.6666666666667,-4142.927400000015,False,1.65x pace — within normal range
2024-02-27,2670.9525,156813.87990000003,96666.66666666667,1.6222125506896554,Netflix,150000,1666.6666666666667,-6813.879900000029,False,1.60x pace — within normal range
2024-02-28,2717.6346000000003,159531.51450000002,98333.33333333334,1.6223543847457627,Netflix,150000,1666.6666666666667,-9531.51450000002,False,1.63x pace — within normal range
2024-02-29,2784.6499,162316.1644,100000.0,1.623161644,Netflix,150000,1666.6666666666667,-12316.164400000009,False,1.67x pace — within normal range
2024-03-01,2573.6407,164889.8051,101666.66666666667,1.621866935409836,Netflix,150000,1666.6666666666667,-14889.805099999998,False,1.54x pace — within normal range
2024-03-02,2668.3611,167558.1662,103333.33333333334,1.6215306406451613,Netflix,150000,1666.6666666666667,-17558.166200000007,False,1.60x pace — within normal range
2024-03-03,2567.9248,170126.09100000001,105000.0,1.6202484857142858,Netflix,150000,1666.6666666666667,-20126.091000000015,False,1.54x pace — within normal range
2024-03-04,2648.4157,172774.50670000003,106666.66666666667,1.6197610003125003,Netflix,150000,1666.6666666666667,-22774.506700000027,False,1.59x pace — within normal range
2024-03-05,2745.5888999999997,175520.09560000003,108333.33333333334,1.620185497846154,Netflix,150000,1666.6666666666667,-25520.09560000003,False,1.65x pace — within normal range
